Roaming Scheme ID,Allow Roaming,Roaming Scheme Name,Roaming SGSN ID,SGSN Number,Number Type,Local SGSN,Description
3,Yes,3,90,2012,Number prefix,No,
3,Yes,3,92,2016,Number prefix,No,
3,Yes,3,93,21191,Number prefix,No,
3,Yes,3,94,21192,Number prefix,No,
3,Yes,3,96,21264,Number prefix,No,
3,Yes,3,97,212640,Number prefix,No,
3,Yes,3,98,212661,Number prefix,No,
3,Yes,3,99,2126639,Number prefix,No,
3,Yes,3,100,21350,Number prefix,No,
3,Yes,3,102,21370,Number prefix,No,
3,Yes,3,103,21622,Number prefix,No,
3,Yes,3,104,21698,Number prefix,No,
3,Yes,3,105,21891,Number prefix,No,
3,Yes,3,106,2206,Number prefix,No,
3,Yes,3,107,22077,Number prefix,No,
3,Yes,3,108,22166,Number prefix,No,
3,Yes,3,109,22168,Number prefix,No,
3,Yes,3,110,22170,Number prefix,No,
3,Yes,3,112,22177,Number prefix,No,
3,Yes,3,115,223667,Number prefix,No,
3,Yes,3,116,223760,Number prefix,No,
3,Yes,3,117,22463,Number prefix,No,
3,Yes,3,120,22505,Number prefix,No,
3,Yes,3,121,22507,Number prefix,No,
3,Yes,3,135,22676,Number prefix,No,
3,Yes,3,138,226788,Number prefix,No,
3,Yes,3,157,22796,Number prefix,No,
3,Yes,3,161,22804,Number prefix,No,
3,Yes,3,163,22899,Number prefix,No,
3,Yes,3,164,22995,Number prefix,No,
3,Yes,3,166,23025,Number prefix,No,
3,Yes,3,167,23072,Number prefix,No,
3,Yes,3,168,2315,Number prefix,No,
3,Yes,3,169,2317,Number prefix,No,
3,Yes,3,170,23188,Number prefix,No,
3,Yes,3,184,23276,Number prefix,No,
3,Yes,3,185,23277,Number prefix,No,
3,Yes,3,198,23326,Number prefix,No,
3,Yes,3,992,9477,Number prefix,No,SRI LANKA-Dialog
3,Yes,3,220,234802,Number prefix,No,
3,Yes,3,244,2356,Number prefix,No,
3,Yes,3,248,23627,Number prefix,No,
3,Yes,3,249,23672,Number prefix,No,
3,Yes,3,251,23707,Number prefix,No,
3,Yes,3,252,23767,Number prefix,No,
3,Yes,3,253,23769,Number prefix,No,
3,Yes,3,1080,96278,Number prefix,No,
3,Yes,3,254,24055,Number prefix,No,
3,Yes,3,1075,27741,Number prefix,No,
3,Yes,3,263,24107,Number prefix,No,
3,Yes,3,280,24205,Number prefix,No,
3,Yes,3,314,24399,Number prefix,No,
3,Yes,3,315,24491,Number prefix,No,
3,Yes,3,316,24492,Number prefix,No,
3,Yes,3,326,24827,Number prefix,No,
3,Yes,3,336,24991,Number prefix,No,
3,Yes,3,337,24992,Number prefix,No,
3,Yes,3,338,24995,Number prefix,No,
3,Yes,3,348,25072,Number prefix,No,
3,Yes,3,349,25073,Number prefix,No,
3,Yes,3,358,2519,Number prefix,No,
3,Yes,3,359,25191,Number prefix,No,
3,Yes,3,360,25261,Number prefix,No,
3,Yes,3,361,25267,Number prefix,No,
3,Yes,3,362,25269,Number prefix,No,
3,Yes,3,363,25290,Number prefix,No,
3,Yes,3,364,25377,Number prefix,No,
3,Yes,3,365,254760,Number prefix,No,
3,Yes,3,366,254763,Number prefix,No,
3,Yes,3,367,25478,Number prefix,No,
3,Yes,3,369,25507,Number prefix,No,
3,Yes,3,385,25578,Number prefix,No,
3,Yes,3,401,25675,Number prefix,No,
3,Yes,3,408,25769,Number prefix,No,
3,Yes,3,409,25775,Number prefix,No,
3,Yes,3,410,25776,Number prefix,No,
3,Yes,3,411,25778,Number prefix,No,
3,Yes,3,412,25779,Number prefix,No,
3,Yes,3,413,2579,Number prefix,No,
