Roaming Scheme ID,Allow Roaming,Roaming Scheme Name,Roaming VLR ID,VLR Address,GSM SSF Address,Local VLR,VLR Number Type,Description
1,Yes,1,99,2126639,2126639,No,Number prefix,
1,Yes,1,507,31654,31654,No,Number prefix,
1,Yes,1,504,31626,31626,No,Number prefix,
1,Yes,1,603,4176,4176,No,Number prefix,
1,Yes,1,604,4177,4177,No,Number prefix,
1,Yes,1,605,4178,4178,No,Number prefix,
1,Yes,1,606,4179,4179,No,Number prefix,
1,Yes,1,690,5119815,5119815,No,Number prefix,
1,Yes,1,732,61430,61430,No,Number prefix,
1,Yes,1,728,61414,61414,No,Number prefix,
1,Yes,1,729,61415,61415,No,Number prefix,
1,Yes,1,731,61426,61426,No,Number prefix,
1,Yes,1,726,61408,61408,No,Number prefix,
1,Yes,1,774,8190542,8190542,No,Number prefix,
1,Yes,1,775,8190665,8190665,No,Number prefix,
1,Yes,1,869,919810,919810,No,Number prefix,
1,Yes,1,899,919840,919840,No,Number prefix,
1,Yes,1,890,919831,919831,No,Number prefix,
1,Yes,1,874,919815,919815,No,Number prefix,
1,Yes,1,875,919816,919816,No,Number prefix,
1,Yes,1,888,919829,919829,No,Number prefix,
1,Yes,1,8,123120,123120,No,Number prefix,
1,Yes,1,7,120990,120990,No,Number prefix,
1,Yes,1,4,120631,120631,No,Number prefix,
1,Yes,1,12,126053,126053,No,Number prefix,
1,Yes,1,13,126057,126057,No,Number prefix,
1,Yes,1,9,1240449,1240449,No,Number prefix,
1,Yes,1,5,12085978,12085978,No,Number prefix,
1,Yes,1,6,12085979,12085979,No,Number prefix,
1,Yes,1,118,22501,22501,No,Number prefix,
1,Yes,1,117,22463,22463,No,Number prefix,
1,Yes,1,161,22804,22804,No,Number prefix,
1,Yes,1,164,22995,22995,No,Number prefix,
1,Yes,1,135,22676,22676,No,Number prefix,
1,Yes,1,157,22796,22796,No,Number prefix,
1,Yes,1,121,22507,22507,No,Number prefix,
1,Yes,1,107,22077,22077,No,Number prefix,AFRICELL_Gambia
1,Yes,1,112,22177,22177,No,Number prefix,
1,Yes,1,163,22899,22899,No,Number prefix,
1,Yes,1,115,223667,223667,No,Number prefix,
1,Yes,1,508,32475,32475,No,Number prefix,
1,Yes,1,510,32495,32495,No,Number prefix,
1,Yes,1,613,42379,42379,No,Number prefix,
1,Yes,1,607,420602,420602,No,Number prefix,
1,Yes,1,610,421903,421903,No,Number prefix,
1,Yes,1,611,421905,421905,No,Number prefix,
1,Yes,1,695,52941,52941,No,Number prefix,
1,Yes,1,733,62811,62811,No,Number prefix,
1,Yes,1,734,62816,62816,No,Number prefix,
1,Yes,1,735,62818,62818,No,Number prefix,EXCELCOMINDO_Indonesia
1,Yes,1,778,8211,8211,No,Number prefix,
